Coordinate
(53.52702394379224,10.018477833438878)
(53.5243025757172,10.018396181385363)
(53.524226107810236,10.016180523320813)
(53.52409649612706,10.015450333151282)
(53.52645962993574,10.021156737549314)
(53.523568473696,10.016843938126444)
(53.52303656957277,10.01951808446957)
(53.5234571905706,10.015244448935935)
(53.523454262771835,10.018677705832213)
(53.526234488766356,10.017817138088589)
(53.5242503649896,10.019326827014865)
(53.52612935766695,10.020317157468794)
(53.524291688010194,10.017852773888189)
(53.52440999223846,10.017871856658784)
(53.524794004306386,10.017307876422034)
(53.52404170523307,10.016653317062035)
(53.52337723715616,10.021142243864453)
(53.52665565150419,10.01752577777589)
(53.5272848912641,10.018638755207553)
(53.527813875422936,10.018681334411687)
(53.52367104848035,10.020194089023363)
(53.52637580567424,10.017260487545041)
(53.52483939733507,10.016665540352143)
(53.52502512616226,10.019311608010998)
(53.52344708860677,10.016449269268524)
(53.52689872773086,10.018511442564764)
(53.5276838426667,10.020773174286123)
(53.52311356066364,10.017441414535671)
(53.52818409178277,10.020092804181578)
(53.525141946522474,10.019365536532737)
(53.52380576609682,10.017652233531539)
(53.52391517910104,10.018073729439646)
(53.52326754426087,10.018727047435949)
(53.52473552549108,10.019061740425244)
(53.52575473273296,10.019964960734788)
(53.524374832793264,10.019796331502727)
(53.52485043938352,10.015942852320162)
(53.524012228545004,10.01729392567545)
(53.52398818735104,10.015851350827054)
(53.52756957499568,10.020861485984497)
(53.52479605371869,10.019122326767702)
(53.52368683413412,10.020356206192416)
(53.5247650755045,10.020126021469794)
(53.52676722664343,10.018391176763885)
(53.52538624947406,10.019620822461434)
(53.52408289384295,10.01869567024433)
(53.52453969380316,10.016429735582554)
(53.5239668338197,10.018267525164271)
(53.52816909022235,10.019650054068249)
(53.527289388346134,10.020965478906943)
(53.52431384154528,10.01956135231053)
(53.524776882288386,10.01820733497522)
(53.52463265891352,10.01766289758548)
(53.52631929798834,10.02106983295672)
(53.526386722124876,10.017961340766833)
(53.52459176756881,10.019514671103604)
(53.52568741953552,10.020695301359659)
(53.52305027034083,10.020296635075256)
(53.52763966823609,10.020438558887017)
(53.52557823261645,10.020631761588932)
(53.52299645876387,10.016804444134358)
(53.52507231039719,10.016464918943479)
(53.530456386945225,10.021792010168175)
(53.524192786657785,10.019104738158978)
(53.527921741904244,10.019287007852707)
(53.524537846289824,10.017988723012039)
(53.52789675760435,10.019981035422036)
(53.52805904586705,10.01908707822368)
(53.52662592347398,10.020464411120177)
(53.52682053245559,10.02113975799232)
(53.52335187012859,10.020548463851698)
(53.52308793820812,10.018760313322097)
(53.52604971020263,10.020558874220624)
(53.523162376446436,10.02115327696084)
(53.52755478160244,10.020322000168399)
(53.52798855637681,10.018926452881452)
(53.52783435335527,10.021919373081236)
(53.52454681112781,10.019291419989731)
(53.52407024616631,10.016548572818074)
(53.52578595239129,10.020559005205875)
(53.52358506955374,10.018962745965254)
(53.524625611228494,10.021241012366717)
(53.52586902474041,10.020268827293682)
(53.524640621115424,10.019696200653382)
(53.52402241555915,10.01532565048562)
(53.525471630077284,10.019700622733973)
(53.52617932442962,10.020983058249225)
(53.52771349794288,10.01857228199427)
(53.527543647104,10.018382663313755)
(53.527451443417654,10.020288303422706)
(53.5249408379057,10.016007890315745)
(53.524595450667405,10.016893018119466)
(53.524594377894594,10.018749698376372)
(53.52473063911121,10.01657987769811)
(53.52327096285515,10.017872893014305)
(53.52648434376151,10.020351968621272)
(53.52678301165848,10.017646846445588)
(53.527904986217536,10.018790255467042)
(53.53053135585016,10.021333250791706)
(53.523054129171285,10.020494349150512)
(53.52458001293965,10.015742885965004)
(53.52660477566155,10.018237191982372)
(53.52584798742084,10.020052147354715)
(53.52358747145249,10.02178530507514)
(53.5287238416942,10.02142445254107)
(53.52476183056163,10.015877706578854)
(53.528019157727435,10.01993932126639)
(53.52801252507449,10.021610140682611)
(53.52443986338787,10.01635125711344)
(53.52815145982086,10.019458532955255)
(53.52528119243685,10.018782728015251)
(53.52464983127518,10.018091195546331)
(53.5265287484308,10.021195480761572)
(53.52447213073505,10.01884101570663)
(53.52756787707779,10.018987742572188)
(53.5264820664678,10.018118933926566)
(53.52634504701201,10.020223741848215)
(53.524265167102584,10.015819587227556)
(53.52470900034951,10.018524604528166)
(53.52694848366063,10.020470007679636)
(53.526481386595975,10.019901017194988)
(53.5235067281336,10.016626161187926)
(53.525345162715645,10.01745636819363)
(53.527095727742356,10.01824172675331)
(53.52469441486771,10.019887624400617)
(53.52514543326667,10.020384685156502)
(53.52811440462077,10.019271131808827)
(53.52407537229231,10.017505705788421)
(53.52811360848595,10.02182875932403)
(53.52375651993651,10.021289738140611)
(53.52425547526007,10.016622488813685)
(53.52686303052001,10.020500931072725)
(53.52314392979084,10.018260294089597)
(53.52623175775822,10.017452575004528)
(53.52791535230845,10.020407078284238)
(53.524026547298696,10.018487128657709)
(53.52455548371659,10.020705664081559)
(53.530176863889295,10.021932922506608)
(53.5233896151394,10.021009616363107)
(53.529149989851135,10.020413267695877)
(53.524490491129264,10.015676210727742)
(53.52733098744843,10.020331812738396)
